Casos,Óbitos,Estação,Cidade,2a_dose,População estimada 2021,Estabelecimentos de Saúde 2021,Casos/10k,Óbitos/10k,Vacinados/10k,Estabelecimentos/10k
287,3,3,Anadia,3037,17507,12,163.93,1.71,1734.73,6.85
6838,126,3,Arapiraca,31341,234309,342,291.84,5.38,1337.59,14.60
150,6,3,Atalaia,3760,47540,30,31.55,1.26,790.91,6.31
91,7,3,Barra de Santo Antônio,1690,16201,12,56.17,4.32,1043.15,7.41
171,1,3,Barra de São Miguel,1162,8434,8,202.75,1.19,1377.76,9.49
130,5,3,Batalha,3128,18440,18,70.50,2.71,1696.31,9.76
16,4,3,Belém,994,4226,5,37.86,9.47,2352.11,11.83
273,1,3,Belo Monte,1358,6717,9,406.43,1.49,2021.74,13.40
193,3,3,Boca da Mata,5695,27429,23,70.36,1.09,2076.27,8.39
212,4,3,Branquinha,1717,10426,11,203.34,3.84,1646.84,10.55
260,3,3,Cacimbinhas,2240,10920,12,238.10,2.75,2051.28,10.99
109,10,3,Cajueiro,2730,21397,15,50.94,4.67,1275.88,7.01
21,0,3,Campestre,1200,6972,5,30.12,0.00,1721.17,7.17
229,9,3,Campo Alegre,6628,57997,29,39.48,1.55,1142.82,5.00
97,3,3,Campo Grande,1436,9576,9,101.29,3.13,1499.58,9.40
137,3,3,Canapi,3140,17715,12,77.34,1.69,1772.51,6.77
181,6,3,Capela,1941,16907,17,107.06,3.55,1148.05,10.06
175,4,3,Carneiros,1657,9568,7,182.90,4.18,1731.81,7.32
111,3,3,Chã Preta,982,7311,8,151.83,4.10,1343.18,10.94
159,7,3,Coité do Nóia,1893,10594,17,150.08,6.61,1786.86,16.05
31,3,3,Colônia Leopoldina,2554,21935,19,14.13,1.37,1164.35,8.66
57,2,3,Coqueiro Seco,774,5882,6,96.91,3.40,1315.88,10.20
596,12,3,Coruripe,7588,57647,38,103.39,2.08,1316.29,6.59
312,6,3,Craíbas,3809,24396,18,127.89,2.46,1561.32,7.38
1076,46,3,Delmiro Gouveia,6727,52501,62,204.95,8.76,1281.31,11.81
75,2,3,Dois Riachos,1870,11059,9,67.82,1.81,1690.93,8.14
238,7,3,Estrela de Alagoas,2436,18304,14,130.03,3.82,1330.86,7.65
111,6,3,Feira Grande,2920,22192,19,50.02,2.70,1315.79,8.56
40,1,3,Feliz Deserto,758,4803,3,83.28,2.08,1578.18,6.25
54,0,3,Flexeiras,1458,12823,10,42.11,0.00,1137.02,7.80
189,9,3,Girau do Ponciano,6236,41549,26,45.49,2.17,1500.88,6.26
68,4,3,Ibateguara,2340,15637,10,43.49,2.56,1496.45,6.40
574,11,3,Igaci,5415,25596,19,224.25,4.30,2115.56,7.42
541,10,3,Igreja Nova,5959,24670,22,219.29,4.05,2415.48,8.92
106,9,3,Inhapi,2413,18398,13,57.61,4.89,1311.56,7.07
224,2,3,Jacaré dos Homens,1514,5185,10,432.02,3.86,2919.96,19.29
25,0,3,Jacuípe,1123,6992,3,35.76,0.00,1606.12,4.29
59,3,3,Japaratinga,920,8444,6,69.87,3.55,1089.53,7.11
19,2,3,Jaramataia,998,5751,5,33.04,3.48,1735.35,8.69
80,2,3,Jequiá da Praia,1365,11495,11,69.60,1.74,1187.47,9.57
16,6,3,Joaquim Gomes,1827,24167,16,6.62,2.48,755.99,6.62
13,2,3,Jundiá,663,4119,4,31.56,4.86,1609.61,9.71
159,7,3,Junqueiro,3322,24716,36,64.33,2.83,1344.07,14.57
385,4,3,Lagoa da Canoa,2462,17692,22,217.61,2.26,1391.59,12.43
519,11,3,Limoeiro de Anadia,3178,28904,30,179.56,3.81,1099.50,10.38
13797,482,3,Maceió,176263,1031597,1614,133.74,4.67,1708.64,15.65
257,3,3,Major Isidoro,4342,19923,13,129.00,1.51,2179.39,6.53
41,1,3,Mar Vermelho,576,33351,4,12.29,0.30,172.71,1.20
284,10,3,Maragogi,2405,8850,24,320.90,11.30,2717.51,27.12
145,5,3,Maravilha,1640,52848,12,27.44,0.95,310.32,2.27
946,22,3,Marechal Deodoro,9537,13123,42,720.87,16.76,7267.39,32.00
111,0,3,Maribondo,2899,3474,16,319.52,0.00,8344.85,46.06
90,7,3,Mata Grande,3325,25200,11,35.71,2.78,1319.44,4.37
151,10,3,Matriz de Camaragibe,2725,24627,19,61.31,4.06,1106.51,7.72
175,3,3,Messias,2258,18201,12,96.15,1.65,1240.59,6.59
106,5,3,Minador do Negrão,1039,5315,6,199.44,9.41,1954.84,11.29
88,10,3,Monteirópolis,1384,7171,10,122.72,13.95,1930.00,13.95
59,1,3,Murici,4330,28428,16,20.75,0.35,1523.15,5.63
48,1,3,Novo Lino,1444,12837,10,37.39,0.78,1124.87,7.79
271,10,3,Olho d'Água das Flores,4579,21690,14,124.94,4.61,2111.11,6.45
40,1,3,Olho d'Água do Casado,1240,9507,5,42.07,1.05,1304.30,5.26
31,0,3,Olho d'Água Grande,781,5133,8,60.39,0.00,1521.53,15.59
29,7,3,Olivença,1964,11681,8,24.83,5.99,1681.36,6.85
282,3,3,Ouro Branco,1942,11573,9,243.67,2.59,1678.04,7.78
95,1,3,Palestina,1059,5061,5,187.71,1.98,2092.47,9.88
1167,55,3,Palmeira dos Índios,12421,73452,90,158.88,7.49,1691.04,12.25
127,6,3,Pão de Açúcar,4052,24307,26,52.25,2.47,1667.01,10.70
246,5,3,Pariconha,1249,10546,17,233.26,4.74,1184.34,16.12
51,3,3,Paripueira,1813,13484,11,37.82,2.22,1344.56,8.16
171,7,3,Passo de Camaragibe,2265,15270,14,111.98,4.58,1483.30,9.17
137,3,3,Paulo Jacinto,1457,7556,7,181.31,3.97,1928.27,9.26
1010,21,3,Penedo,9409,64005,95,157.80,3.28,1470.04,14.84
203,3,3,Piaçabuçu,1947,17868,18,113.61,1.68,1089.66,10.07
843,20,3,Pilar,5856,35310,22,238.74,5.66,1658.45,6.23
45,1,3,Pindoba,394,2903,4,155.01,3.44,1357.22,13.78
335,8,3,Piranhas,4014,25324,30,132.29,3.16,1585.06,11.85
155,3,3,Poço das Trincheiras,2527,14447,16,107.29,2.08,1749.15,11.07
102,12,3,Porto Calvo,3125,27331,25,37.32,4.39,1143.39,9.15
39,3,3,Porto de Pedras,1220,7618,10,51.19,3.94,1601.47,13.13
35,7,3,Porto Real do Colégio,3189,20158,17,17.36,3.47,1582.00,8.43
335,3,3,Quebrangulo,1747,11202,12,299.05,2.68,1559.54,10.71
398,48,3,Rio Largo,12336,75662,47,52.60,6.34,1630.41,6.21
46,2,3,Roteiro,533,6634,6,69.34,3.01,803.44,9.04
72,1,3,Santa Luzia do Norte,1990,7344,7,98.04,1.36,2709.69,9.53
755,28,3,Santana do Ipanema,6029,47910,57,157.59,5.84,1258.40,11.90
57,5,3,Santana do Mundaú,2435,10637,10,53.59,4.70,2289.18,9.40
66,1,3,São Brás,1186,6977,10,94.60,1.43,1699.87,14.33
158,4,3,São José da Laje,2987,24064,19,65.66,1.66,1241.27,7.90
165,9,3,São José da Tapera,5452,32462,21,50.83,2.77,1679.50,6.47
198,3,3,São Luís do Quitunde,3355,34825,23,56.86,0.86,963.39,6.60
489,16,3,São Miguel dos Campos,8027,62328,48,78.46,2.57,1287.86,7.70
99,5,3,São Miguel dos Milagres,1203,8073,6,122.63,6.19,1490.15,7.43
437,13,3,São Sebastião,4895,34424,42,126.95,3.78,1421.97,12.20
130,7,3,Satuba,1799,14042,15,92.58,4.99,1281.16,10.68
122,1,3,Senador Rui Palmeira,1719,13893,8,87.81,0.72,1237.31,5.76
142,7,3,Tanque d'Arca,1033,6115,5,232.22,11.45,1689.29,8.18
166,11,3,Taquarana,3555,20162,24,82.33,5.46,1763.22,11.90
439,10,3,Teotônio Vilela,5942,44570,46,98.50,2.24,1333.18,10.32
193,8,3,Traipu,4589,27934,17,69.09,2.86,1642.80,6.09
621,11,3,União dos Palmares,7585,65963,52,94.14,1.67,1149.89,7.88
325,6,3,Viçosa,3830,25655,24,126.68,2.34,1492.89,9.35
11,0,4,Água Branca,4665,20263,22,5.43,0.00,2302.23,10.86
56,2,4,Anadia,3911,17507,12,31.99,1.14,2233.96,6.85
201,19,4,Arapiraca,64480,234309,342,8.58,0.81,2751.92,14.60
18,3,4,Atalaia,10614,47540,30,3.79,0.63,2232.65,6.31
7,1,4,Barra de Santo Antônio,3586,16201,12,4.32,0.62,2213.44,7.41
8,0,4,Barra de São Miguel,2704,8434,8,9.49,0.00,3206.07,9.49
1,0,4,Batalha,4557,18440,18,0.54,0.00,2471.26,9.76
3,1,4,Belém,1145,4226,5,7.10,2.37,2709.42,11.83
2,0,4,Belo Monte,2116,6717,9,2.98,0.00,3150.22,13.40
122,1,4,Boca da Mata,4828,27429,23,44.48,0.36,1760.18,8.39
49,1,4,Branquinha,1811,10426,11,47.00,0.96,1737.00,10.55
10,1,4,Cacimbinhas,2253,10920,12,9.16,0.92,2063.19,10.99
7,1,4,Cajueiro,4186,21397,15,3.27,0.47,1956.35,7.01
1,0,4,Campestre,1196,6972,5,1.43,0.00,1715.43,7.17
15,1,4,Campo Alegre,9494,57997,29,2.59,0.17,1636.98,5.00
2,0,4,Campo Grande,1234,9576,9,2.09,0.00,1288.64,9.40
3,2,4,Canapi,4515,17715,12,1.69,1.13,2548.69,6.77
2,0,4,Capela,3890,16907,17,1.18,0.00,2300.82,10.06
1,1,4,Carneiros,1696,9568,7,1.05,1.05,1772.58,7.32
4,1,4,Chã Preta,2333,7311,8,5.47,1.37,3191.08,10.94
28,0,4,Coité do Nóia,2850,10594,17,26.43,0.00,2690.20,16.05
0,0,4,Colônia Leopoldina,3331,21935,19,0.00,0.00,1518.58,8.66
2,0,4,Coqueiro Seco,1880,5882,6,3.40,0.00,3196.19,10.20
54,5,4,Coruripe,17019,57647,38,9.37,0.87,2952.28,6.59
7,1,4,Craíbas,7199,24396,18,2.87,0.41,2950.89,7.38
8,5,4,Delmiro Gouveia,10706,52501,62,1.52,0.95,2039.20,11.81
6,1,4,Dois Riachos,2238,11059,9,5.43,0.90,2023.69,8.14
13,1,4,Estrela de Alagoas,4574,18304,14,7.10,0.55,2498.91,7.65
5,1,4,Feira Grande,6185,22192,19,2.25,0.45,2787.04,8.56
2,0,4,Feliz Deserto,1075,4803,3,4.16,0.00,2238.18,6.25
12,1,4,Flexeiras,2525,12823,10,9.36,0.78,1969.12,7.80
24,4,4,Girau do Ponciano,10498,41549,26,5.78,0.96,2526.66,6.26
6,0,4,Ibateguara,2253,15637,10,3.84,0.00,1440.81,6.40
31,4,4,Igaci,6982,25596,19,12.11,1.56,2727.77,7.42
64,0,4,Igreja Nova,6428,24670,22,25.94,0.00,2605.59,8.92
10,1,4,Inhapi,3713,18398,13,5.44,0.54,2018.15,7.07
6,1,4,Jacaré dos Homens,1312,5185,10,11.57,1.93,2530.38,19.29
6,0,4,Jacuípe,1242,6992,3,8.58,0.00,1776.32,4.29
3,0,4,Japaratinga,2067,8444,6,3.55,0.00,2447.89,7.11
1,0,4,Jaramataia,1318,5751,5,1.74,0.00,2291.78,8.69
6,0,4,Jequiá da Praia,3194,11495,11,5.22,0.00,2778.60,9.57
7,1,4,Joaquim Gomes,3802,24167,16,2.90,0.41,1573.22,6.62
0,0,4,Jundiá,973,4119,4,0.00,0.00,2362.22,9.71
13,3,4,Junqueiro,3063,24716,36,5.26,1.21,1239.28,14.57
25,2,4,Lagoa da Canoa,5323,17692,22,14.13,1.13,3008.70,12.43
30,0,4,Limoeiro de Anadia,5715,28904,30,10.38,0.00,1977.23,10.38
3587,146,4,Maceió,322103,1031597,1614,34.77,1.42,3122.37,15.65
36,0,4,Major Isidoro,3392,19923,13,18.07,0.00,1702.55,6.53
1,0,4,Mar Vermelho,1091,33351,4,0.30,0.00,327.13,1.20
79,1,4,Maragogi,8227,8850,24,89.27,1.13,9296.05,27.12
2,1,4,Maravilha,2772,52848,12,0.38,0.19,524.52,2.27
79,5,4,Marechal Deodoro,15301,13123,42,60.20,3.81,11659.68,32.00
5,0,4,Maribondo,3728,3474,16,14.39,0.00,10731.15,46.06
10,2,4,Mata Grande,4335,25200,11,3.97,0.79,1720.24,4.37
7,0,4,Matriz de Camaragibe,4902,24627,19,2.84,0.00,1990.50,7.72
23,0,4,Messias,4329,18201,12,12.64,0.00,2378.44,6.59
7,0,4,Minador do Negrão,1529,5315,6,13.17,0.00,2876.76,11.29
2,1,4,Monteirópolis,2342,7171,10,2.79,1.39,3265.93,13.95
5,2,4,Murici,5418,28428,16,1.76,0.70,1905.87,5.63
8,1,4,Novo Lino,1839,12837,10,6.23,0.78,1432.58,7.79
59,0,4,Olho d'Água das Flores,5422,21690,14,27.20,0.00,2499.77,6.45
1,0,4,Olho d'Água do Casado,2240,9507,5,1.05,0.00,2356.16,5.26
1,0,4,Olho d'Água Grande,1145,5133,8,1.95,0.00,2230.66,15.59
4,1,4,Olivença,2829,11681,8,3.42,0.86,2421.88,6.85
27,1,4,Ouro Branco,3228,11573,9,23.33,0.86,2789.25,7.78
8,0,4,Palestina,1066,5061,5,15.81,0.00,2106.30,9.88
177,2,4,Palmeira dos Índios,17166,73452,90,24.10,0.27,2337.04,12.25
15,2,4,Pão de Açúcar,6238,24307,26,6.17,0.82,2566.34,10.70
11,2,4,Pariconha,2121,10546,17,10.43,1.90,2011.19,16.12
9,1,4,Paripueira,4433,13484,11,6.67,0.74,3287.60,8.16
7,0,4,Passo de Camaragibe,3398,15270,14,4.58,0.00,2225.28,9.17
15,0,4,Paulo Jacinto,1504,7556,7,19.85,0.00,1990.47,9.26
14,4,4,Penedo,16714,64005,95,2.19,0.62,2611.36,14.84
6,0,4,Piaçabuçu,5259,17868,18,3.36,0.00,2943.25,10.07
124,1,4,Pilar,9674,35310,22,35.12,0.28,2739.73,6.23
3,0,4,Pindoba,579,2903,4,10.33,0.00,1994.49,13.78
8,3,4,Piranhas,6914,25324,30,3.16,1.18,2730.22,11.85
9,2,4,Poço das Trincheiras,2760,14447,16,6.23,1.38,1910.43,11.07
5,1,4,Porto Calvo,5730,27331,25,1.83,0.37,2096.52,9.15
0,1,4,Porto de Pedras,1337,7618,10,0.00,1.31,1755.05,13.13
7,1,4,Porto Real do Colégio,5329,20158,17,3.47,0.50,2643.62,8.43
19,1,4,Quebrangulo,3612,11202,12,16.96,0.89,3224.42,10.71
108,11,4,Rio Largo,26269,75662,47,14.27,1.45,3471.89,6.21
1,0,4,Roteiro,2068,6634,6,1.51,0.00,3117.27,9.04
3,0,4,Santa Luzia do Norte,1894,7344,7,4.08,0.00,2578.98,9.53
24,5,4,Santana do Ipanema,13466,47910,57,5.01,1.04,2810.69,11.90
0,0,4,Santana do Mundaú,3560,10637,10,0.00,0.00,3346.81,9.40
1,0,4,São Brás,1879,6977,10,1.43,0.00,2693.13,14.33
2,0,4,São José da Laje,6813,24064,19,0.83,0.00,2831.20,7.90
9,1,4,São José da Tapera,8119,32462,21,2.77,0.31,2501.08,6.47
16,0,4,São Luís do Quitunde,6954,34825,23,4.59,0.00,1996.84,6.60
48,8,4,São Miguel dos Campos,14846,62328,48,7.70,1.28,2381.92,7.70
9,0,4,São Miguel dos Milagres,2176,8073,6,11.15,0.00,2695.40,7.43
2,0,4,São Sebastião,10266,34424,42,0.58,0.00,2982.22,12.20
26,0,4,Satuba,4442,14042,15,18.52,0.00,3163.37,10.68
6,1,4,Senador Rui Palmeira,3000,13893,8,4.32,0.72,2159.36,5.76
1,1,4,Tanque d'Arca,1615,6115,5,1.64,1.64,2641.05,8.18
26,2,4,Taquarana,6283,20162,24,12.90,0.99,3116.26,11.90
17,2,4,Teotônio Vilela,11451,44570,46,3.81,0.45,2569.22,10.32
10,0,4,Traipu,6041,27934,17,3.58,0.00,2162.60,6.09
126,0,4,União dos Palmares,15875,65963,52,19.10,0.00,2406.65,7.88
9,1,4,Viçosa,6355,25655,24,3.51,0.39,2477.10,9.35
